Absolute Zero,0,0.28,0.73
Acid green,0.69,0.75,0.1
Aero,0.49,0.73,0.91
Air superiority blue,0.45,0.63,0.76
Alabaster,0.95,0.94,0.9
Alice blue,0.94,0.97,1
Alizarin crimson,0.89,0.15,0.21
Alloy orange,0.77,0.38,0.06
Almond,0.94,0.87,0.8
Amber,1,0.75,0
American silver,0.81,0.81,0.81
American violet,0.33,0.11,0.55
American yellow,0.95,0.71,0
Amethyst,0.6,0.4,0.8
Anti-flash white,0.95,0.95,0.96
Antique brass,0.8,0.58,0.46
Antique bronze,0.4,0.36,0.12
Antique fuchsia,0.57,0.36,0.51
Antique ruby,0.52,0.11,0.18
Antique white,0.98,0.92,0.84
Ao (English),0,0.5,0
Apple green,0.55,0.71,0
Apricot,0.98,0.81,0.69
Aqua,0,1,1
Aquamarine,0.5,1,0.83
Arctic lime,0.82,1,0.08
Army green,0.29,0.33,0.13
Artichoke,0.56,0.59,0.47
Arylide yellow,0.91,0.84,0.42
Ash gray,0.7,0.75,0.71
Asparagus,0.53,0.66,0.42
Atomic tangerine,1,0.6,0.4
Auburn,0.65,0.16,0.16
Aureolin,0.99,0.93,0
Avocado,0.34,0.51,0.01
Azure,0,0.5,1
Azure mist,0.94,1,1
Baby blue,0.54,0.81,0.94
Baby blue eyes,0.63,0.79,0.95
Baby pink,0.96,0.76,0.76
Baby powder,1,1,0.98
Baker-Miller pink,1,0.57,0.69
Banana Mania,0.98,0.91,0.71
Bangladesh green,0,0.42,0.31
Barbie Pink,0.91,0.25,0.59
Barbie Pink (Pantone),0.88,0.13,0.54
Barn red,0.49,0.04,0.01
Battleship grey,0.52,0.52,0.51
Beau blue,0.74,0.83,0.9
Beaver,0.62,0.51,0.44
Beige,0.96,0.96,0.86
B'dazzled blue,0.18,0.35,0.58
Big dip o’ruby,0.61,0.15,0.26
Bisque,1,0.89,0.77
Bistre,0.24,0.17,0.12
Bistre brown,0.59,0.44,0.09
Bitter lemon,0.79,0.88,0.05
Bitter lime,0.75,1,0
Bittersweet,1,0.44,0.37
Bittersweet shimmer,0.75,0.31,0.32
Black,0,0,0
Black bean,0.24,0.05,0.01
Black chocolate,0.11,0.09,0.07
Black coffee,0.23,0.18,0.18
Black coral,0.33,0.38,0.44
Black leather jacket,0.15,0.21,0.16
Black olive,0.23,0.24,0.21
Black Shadows,0.75,0.69,0.7
Blanched almond,1,0.92,0.8
Blast-off bronze,0.65,0.44,0.39
Bleu de France,0.19,0.55,0.91
Blizzard blue,0.67,0.9,0.93
Blond,0.98,0.94,0.75
Blood,0.54,0.01,0.01
Blood orange,0.82,0,0.11
Blood red,0.4,0,0
Blood (Animal),0.64,0.07,0.07
Blood (organ),0.39,0.06,0.06
Blue,0,0,1
Blue (Crayola),0.12,0.46,1
Blue (Munsell),0,0.58,0.69
Blue (NCS),0,0.53,0.74
Blue (Pantone),0,0.09,0.66
Blue (pigment),0.2,0.2,0.6
Blue (RYB),0.01,0.28,1
Blue bell,0.64,0.64,0.82
